date,8black,8gold,8pblack,xblack,xsmgold,xrblack,11pblack,11pmgreen
dec11,0,7,0,0,3,0,2,2
dec18,0,13,6,9,5,15,35,22
dec25,9,13,1,0,0,12,32,0
jan01,7,12,0,0,0,5,30,0
jan08,6,15,14,17,31,10,30,38
jan15,0,10,6,8,16,8,22,33
jan22,0,9,6,5,16,7,22,33
jan29,0,9,6,1,13,6,22,30
feb05,0,9,5,22,12,3,22,30
feb12,20,20,14,20,9,13,27,34
feb19,20,20,14,10,2,13,26,34
feb26,20,20,11,0,2,12,26,28
mar05,20,20,11,0,0,11,23,28
mar12,20,20,11,45,45,10,23,40
mar19,20,20,11,45,44,28,49,40
mar26,20,20,11,45,44,28,49,40
apr02,20,20,11,45,44,28,49,40
apr09,20,20,11,45,44,28,49,40
apr16,4,0,0,25,22,10,16,17
apr23,19,18,3,36,28,22,31,30
apr30,19,18,2,35,26,20,30,28
may07,17,15,0,32,26,19,28,27
may14,15,12,0,30,22,18,28,25
may21,20,20,30,40,40,30,40,40
may28,17,18,28,38,37,26,35,38
jun04,14,16,24,36,35,22,33,35
jun11,14,16,24,35,34,21,33,33
jun18,13,11,18,33,30,20,32,32
jun25,12,7,14,30,27,20,32,31
jul2,11,6,14,27,26,18,30,30
jul9,10,5,12,25,24,17,29,29
jul16,8,3,10,23,23,16,28,25
jul23,8,13,9,22,0,7,28,25
jul30,8,13,29,22,0,4,27,25
aug6,20,20,39,37,30,28,27,25
aug13,20,20,39,37,30,28,26,24
aug20,19,20,39,37,30,28,26,24
aug27,16,20,39,37,30,28,25,24
